SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,Crustal_Thickness
61.13,0.6,18.12,4.91,0.1,2.88,5.74,4.87,1.44,0.2,12.5,25.6,3.17,13.6,3.24,1.02,2.93,0.47,2.84,0.58,1.59,0.24,1.51,0.25,633,15.9,21.1,550,3.31,3.25,0.23,1.8,23.07
60.95,0.65,17.87,5.28,0.11,2.88,5.93,4.76,1.37,0.19,12.7,26.4,3.27,14,3.28,1.03,3.05,0.53,3.13,0.65,1.79,0.27,1.68,0.28,567,17.7,22.9,507,3.46,3.63,0.26,2,23.07
60.95,0.64,18.06,5.18,0.1,2.91,5.93,4.69,1.35,0.19,12.4,25.3,3.14,13.7,3.25,1.02,3.08,0.51,3.02,0.64,1.74,0.26,1.65,0.27,573,17.4,20.1,498,3.37,3.51,0.25,1.9,23.07
61.01,0.62,18.1,5.08,0.1,2.94,5.85,4.67,1.41,0.21,12.9,26.5,3.3,14.1,3.35,1.09,3,0.49,2.99,0.62,1.69,0.25,1.57,0.26,640,16.5,20.8,543,3.36,3.3,0.24,1.8,23.07
60.82,0.62,17.8,5.31,0.12,2.92,5.96,4.8,1.4,0.24,12.8,26.4,3.25,14,3.27,1.07,3.17,0.51,3.1,0.65,1.78,0.27,1.68,0.27,556,17.7,21.7,502,3.48,3.51,0.27,2,23.07
60.93,0.63,18.17,5.18,0.1,2.93,5.86,4.67,1.35,0.18,11.5,23.7,2.94,12.9,3.18,1.01,2.91,0.47,2.85,0.59,1.59,0.24,1.54,0.25,606,15.9,20.3,528,3.23,2.99,0.23,1.7,23.07
60.62,0.68,18.01,5.23,0.1,2.96,5.95,4.88,1.38,0.18,12.5,25.7,3.22,13.9,3.34,1.08,3.1,0.51,3.14,0.65,1.78,0.27,1.69,0.28,564,17.3,20.5,500,3.48,3.53,0.26,2,23.07
61.14,0.64,17.64,5.34,0.12,2.97,5.92,4.63,1.4,0.2,13,26.5,3.34,14.6,3.36,1.06,3.09,0.52,3.13,0.66,1.81,0.27,1.72,0.28,558,18,22.9,507,3.56,3.58,0.26,2,23.07
60.86,0.65,18.04,5.11,0.1,3.06,5.83,4.73,1.42,0.19,12.7,26.1,3.27,14,3.26,1.04,3.06,0.49,2.95,0.61,1.65,0.25,1.6,0.26,620,16.4,20.6,537,3.41,3.37,0.24,1.8,23.07
60.6,0.65,18.07,5.28,0.11,3.07,5.99,4.68,1.35,0.2,12.2,24.9,3.11,13.4,3.24,1.04,3.06,0.5,3.04,0.64,1.7,0.26,1.64,0.27,582,17.2,19.8,494,3.35,3.46,0.26,1.9,23.07
61.11,0.65,17.88,5.16,0.1,3.07,5.86,4.6,1.37,0.2,12.4,25.5,3.15,13.6,3.34,1.03,3.1,0.51,3.05,0.63,1.74,0.26,1.66,0.27,563,17.3,20.6,502,3.49,3.54,0.26,2,23.07
60.87,0.66,17.95,5.22,0.1,3.13,5.82,4.68,1.37,0.19,12.5,25.5,3.14,13.5,3.26,1.03,3.12,0.5,2.96,0.62,1.72,0.25,1.66,0.27,567,17.3,20.7,501,3.45,3.53,0.26,1.9,23.07
60.87,0.66,17.99,5.06,0.1,3.21,5.9,4.57,1.42,0.21,12.7,26,3.26,13.9,3.29,1.03,3.14,0.49,2.98,0.62,1.72,0.25,1.6,0.26,613,16.6,20.3,532,3.39,3.33,0.25,1.8,23.07
60.69,0.71,17.54,5.62,0.11,3.21,6.08,4.47,1.35,0.22,12.8,26.6,3.32,14.5,3.47,1.1,3.23,0.53,3.24,0.68,1.85,0.26,1.7,0.29,559,18.7,22.7,503,3.5,3.62,0.27,1.9,23.07
60.45,0.66,17.87,5.23,0.1,3.34,6.04,4.74,1.37,0.19,12.2,25,3.17,13.6,3.27,1.01,3.04,0.49,2.97,0.6,1.7,0.25,1.56,0.25,577,16.7,21.3,497,3.21,3.12,0.22,1.8,23.07
61.09,0.66,17.6,5.14,0.1,3.34,6.18,4.37,1.33,0.19,12.1,25.2,3.12,13.4,3.16,1.06,3.04,0.49,2.96,0.61,1.67,0.25,1.55,0.26,602,16.8,21.1,510,3.17,3.15,0.22,1.7,23.07
59.23,0.82,17.85,6.05,0.1,4.02,6.5,4.03,1.2,0.2,11.4,24,3.06,13.6,3.41,1.1,3.21,0.54,3.32,0.66,1.82,0.27,1.68,0.26,292,17.8,16.2,426,3.16,3.33,0.24,1.5,23.07
57.9,0.8,17.89,6.23,0.11,4.18,7.04,4.53,1.11,0.19,11.4,24.2,3.07,13.6,3.4,1.14,3.19,0.53,3.16,0.66,1.85,0.27,1.61,0.27,604,17.8,17.1,427,2.99,3.3,0.24,1.5,23.07
58.88,0.72,17.51,5.84,0.12,4.45,6.54,4.57,1.19,0.19,10.7,22.3,2.82,12.1,3.11,1.03,3.06,0.51,2.98,0.62,1.67,0.25,1.59,0.25,545,17,16.7,427,2.94,3.21,0.23,1.5,23.07
58.87,0.75,17.74,6.01,0.12,3.94,6.82,4.35,1.2,0.21,10.62,22.64,2.87,12.66,3.17,1.08,3.16,0.51,3.08,0.63,1.75,0.25,1.64,0.26,581,17,16,441,2.99,5,0.24,1.68,23.07
59.23,0.82,17.85,6.06,0.1,4.02,6.5,4.03,1.2,0.2,11.39,24.03,3.06,13.62,3.41,1.1,3.21,0.54,3.32,0.66,1.82,0.27,1.68,0.26,557,22,16,422,3.16,3.33,0.24,1.51,23.07
58.65,0.78,17.76,6.04,0.12,4.01,6.86,4.34,1.24,0.2,10.79,22.89,2.9,12.88,3.2,1.06,3.07,0.53,3.17,0.65,1.79,0.26,1.65,0.26,578,18,17,442,3.06,7,0.24,1.68,23.07
58.7,0.77,17.68,6.05,0.12,4.08,6.85,4.37,1.18,0.21,10.57,22.58,2.86,12.58,3.13,1.03,3,0.51,3.16,0.65,1.76,0.25,1.65,0.25,573,17,16,421,3.02,5,0.23,1.68,23.07
58.07,0.84,17.95,6.12,0.11,4.1,6.93,4.52,1.17,0.2,11.24,23.58,3.02,13.42,3.41,1.09,3.23,0.54,3.21,0.67,1.81,0.27,1.65,0.27,590,21,20,426,3.1,3.36,0.24,1.49,23.07
57.91,0.8,17.9,6.23,0.11,4.19,7.04,4.53,1.11,0.19,11.38,24.2,3.07,13.57,3.4,1.14,3.19,0.53,3.16,0.66,1.85,0.27,1.61,0.27,583,16,19,416,2.99,3.3,0.24,1.55,23.07
58.2,0.8,17.61,6.18,0.12,4.19,7.1,4.45,1.17,0.19,11.07,23.34,3,13.3,3.41,1.13,3.38,0.54,3.24,0.67,1.84,0.26,1.7,0.26,584,20,16,413,2.99,3.35,0.23,1.46,23.07
58.57,0.68,17.96,5.85,0.11,4.55,6.69,4.34,1.1,0.16,9.29,19.35,2.49,11.19,2.93,0.95,2.95,0.48,2.95,0.62,1.67,0.25,1.57,0.25,502,17,16,427,2.83,4,0.21,1.37,23.07
