SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,Crustal_Thickness
57.83,1.39,16.38,6.23,0.1,5.5,7.06,3.72,1.46,0.33,19,43.5,6.04,26.1,6.44,1.83,6.1,0.93,5.39,1.02,2.54,0.35,2.07,0.32,489,26,30,328,4.47,13.2,0.78,4.07,43.49
60.94,0.94,17.11,5.41,0.09,3.35,5.99,4.07,1.83,0.26,24.8,51.4,6.42,25.2,5.02,1.48,4.25,0.64,3.56,0.69,1.76,0.25,1.54,0.24,587,18,49,469,4.41,9.5,0.66,6.33,43.5
58.79,1.11,17.64,6.39,0.1,3.77,6.39,4.17,1.35,0.29,19.2,40.4,5.09,20.7,4.46,1.47,3.97,0.6,3.28,0.61,1.52,0.21,1.27,0.2,558,16,28,361,3.96,11.1,0.71,3.92,43.5
62.89,0.86,16.77,5.04,0.09,2.9,5.27,4.09,1.85,0.24,22.4,45.4,5.51,21.3,4.5,1.29,3.86,0.58,3.28,0.63,1.63,0.24,1.46,0.23,458,17,50,454,4.48,10.8,0.77,6.37,43.5
61.68,0.88,17.19,5.34,0.1,2.9,5.86,4.09,1.69,0.27,22.5,46.6,5.75,22.7,4.53,1.37,4.01,0.62,3.5,0.66,1.75,0.25,1.58,0.24,548,19,40,426,4.4,10.7,0.69,5.35,43.5
63.58,0.72,17.05,4.67,0.09,2.29,5.24,4.08,2.02,0.26,26.4,54.2,6.62,25.2,4.71,1.33,3.77,0.55,3.14,0.61,1.62,0.24,1.49,0.24,685,16,49,486,4.62,9.3,0.65,7.43,43.5
61.14,0.86,17.64,5.4,0.1,2.71,5.94,4.18,1.72,0.31,26.1,55.1,6.85,26.8,5.16,1.5,4.02,0.58,3.31,0.65,1.69,0.25,1.53,0.24,796,18,36,429,4.73,9.2,0.56,6.74,43.5
59.69,0.94,17.69,5.75,0.1,3.61,6.56,3.96,1.45,0.25,18.1,37.4,4.67,18.5,4.02,1.25,3.52,0.55,3.13,0.61,1.56,0.23,1.37,0.22,563,15,34,378,3.76,8.8,0.56,4.19,43.5
60.02,1.2,17.01,6.88,0.23,2.09,5.53,5.52,1.06,0.47,19.4,47.4,6.84,32.7,8.34,2.61,8.71,1.37,8.51,1.72,4.75,0.691,4.59,0.688,605,46.9,27.3,438,4.26,3.64,0.219,3.41,43.5
63.94,0.81,16.37,4.59,0.09,2.6,4.89,4.12,2.29,0.3,30.6,62.9,7.71,29.6,5.64,1.52,4.4,0.64,3.56,0.67,1.74,0.25,1.56,0.24,556,18,57,581,5.52,10.3,0.75,8.92,43.51
60.8,0.83,17.96,5.18,0.09,3.07,6.26,4.19,1.39,0.23,15.8,33.7,4.31,17.4,3.68,1.22,3.26,0.5,2.79,0.54,1.41,0.2,1.24,0.19,644,15,31,319,3.64,7.5,0.46,4.04,43.51
65.33,0.64,16.41,4.01,0.07,2.48,4.63,4.07,2.18,0.18,22,43.7,5.14,19.3,3.89,1.05,3.24,0.5,2.92,0.55,1.45,0.21,1.34,0.21,429,15,62,532,4.19,8.7,0.66,7.66,43.52
60.71,0.92,17.31,5.28,0.09,3.55,6.12,4.07,1.69,0.26,21.2,43.1,5.32,21.2,4.42,1.36,3.91,0.59,3.35,0.66,1.7,0.24,1.48,0.22,513,17,45,419,4.26,10.4,0.75,5.69,43.52
63.19,0.79,16.86,4.6,0.08,2.78,5.3,4.18,1.98,0.24,22.2,44.8,5.4,20.7,4.19,1.25,3.72,0.55,3.15,0.61,1.58,0.22,1.38,0.21,470,17,56,469,4.4,10.3,0.78,7.06,43.52
58.98,1.13,17.29,5.91,0.1,4.22,6.4,4.03,1.67,0.27,19.7,41.1,5.12,20.7,4.54,1.37,4.1,0.65,3.74,0.72,1.89,0.27,1.64,0.25,483,19,41,401,4.3,13,0.88,4.87,43.52
75.44,0.09,13.43,1.33,0.03,0.13,1.19,4.03,4.31,0.02,38.7,59.7,5.33,15.16,2.228,0.4,1.4,0.27,1.3,0.29,0.73,0.11,0.89,0.16,150.5,8.6,117,447,3.2,14.1,1.2,27.5,43.52
72.44,0.28,14.57,2.03,0.04,0.54,2.22,4.24,3.54,0.08,31.9,57.9,5.2,15.63,2.544,0.57,1.63,0.33,1.6,0.31,0.92,0.15,0.96,0.15,257.6,9.3,98.72,479.8,4,14.3,1.1,15.4,43.52
72.06,0.3,14.79,2.2,0.04,0.56,2.22,4.18,3.58,0.08,31.4,55.1,4.83,15.1,2.4,0.55,1.6,0.28,1.58,0.3,0.83,0.13,0.91,0.15,265,9.1,93.1,488.2,4.5,13.3,1.1,15,43.52
71.66,0.29,14.69,2.05,0.04,0.58,2.36,4.28,3.97,0.07,36.2,55.7,5.35,15.69,2.554,0.58,1.72,0.34,1.74,0.33,0.98,0.17,0.98,0.18,282.8,9.5,97.48,501.4,4.6,14.9,1.3,20.2,43.52
72.41,0.31,14.35,2.13,0.04,0.58,2.28,4.14,3.69,0.06,35.2,56,5.17,16.9,2.8,0.56,2,0.28,1.37,0.36,0.92,0.14,0.89,0.19,291.2,9.9,110.6,498.4,4.8,16.2,1.2,19.9,43.52
72.61,0.3,14.23,2.07,0.04,0.59,2.27,4.14,3.69,0.07,34,55,5.09,17.4,2.6,0.51,1.93,0.25,1.46,0.36,0.92,0.12,0.89,0.17,282.6,9.7,109,501.9,4.4,15,1.2,17.7,43.52
71.41,0.32,14.73,2.23,0.04,0.6,2.45,4.14,3.98,0.1,35.7,57.5,5.81,17.71,3.035,0.62,2.45,0.47,2.05,0.41,1.17,0.17,1,0.2,262.4,12.7,104.6,428.2,4.2,16.8,1.2,21.6,43.52
72.08,0.33,14.37,2.22,0.04,0.6,2.44,4.07,3.78,0.07,34,57,5.27,18.2,3,0.58,2.61,0.34,2.03,0.39,1.16,0.18,1.11,0.2,277,11.5,105.3,412.4,4.1,15.9,1.4,18.3,43.52
65.56,0.57,16.25,3.92,0.07,1.92,4.02,4.22,3.28,0.18,36.7,69.3,6.44,20.7,4.1,0.99,3.23,0.58,3.25,0.62,1.73,0.29,1.82,0.23,275.9,18,89.1,399.7,5.4,21.8,1.6,15.2,43.52
64.93,0.64,15.88,4.14,0.08,2.3,4.58,4.04,3.22,0.2,37.2,62.3,6.38,24,3.9,0.99,3.5,0.59,3.02,0.61,1.78,0.3,1.52,0.24,293.9,19.2,95.3,384.6,4.8,23,1.6,19.2,43.52
65.47,0.64,15.35,4.09,0.08,2.32,4.59,3.95,3.33,0.17,34.6,63.3,6.12,21,3.8,0.85,3.47,0.62,2.63,0.62,1.68,0.22,1.6,0.26,274.4,17,88.6,354.4,4.7,22.2,1.7,16,43.52
64.55,0.64,16.18,4.14,0.08,2.36,4.58,4.12,3.17,0.18,34.6,66.1,6.03,19.6,3.8,0.96,3.19,0.6,3.07,0.65,1.71,0.26,1.69,0.28,287.7,17.8,82.8,389.6,4.9,20.3,1.6,14.6,43.52
64.44,0.64,16.54,4.08,0.08,2.37,4.53,4.09,3.06,0.18,34,63.6,6.24,20.7,3.9,0.97,3.12,0.57,3.27,0.59,1.73,0.24,1.74,0.27,280.6,17.9,81.3,385.4,5.3,20.1,1.6,13.7,43.52
64.48,0.63,16.26,4.24,0.08,2.39,4.59,4.06,3.09,0.18,33.7,64.1,6.05,21.2,3.9,0.98,3.43,0.6,3.24,0.62,1.73,0.27,1.9,0.25,287.8,17.8,83.8,369.4,5.1,20,1.7,14.7,43.52
64.77,0.66,15.88,4.24,0.08,2.4,4.77,4,3.01,0.2,37.4,65.5,6.44,20.82,3.871,0.93,3.27,0.58,3.06,0.67,1.71,0.29,1.56,0.28,268.4,19,85.7,412,4.1,22.5,1.6,15,43.52
64.75,0.67,15.98,4.21,0.08,2.41,4.69,4.08,2.96,0.16,35.3,58.5,5.93,22.8,3.8,0.97,3.17,0.64,3.02,0.58,1.69,0.25,1.4,0.25,281.5,18.1,90.8,344.6,4.9,21.1,1.5,15.5,43.52
64.54,0.64,16.15,4.13,0.08,2.42,4.63,4.06,3.18,0.19,32.9,62.4,5.88,20.7,3.7,0.97,3.15,0.54,2.98,0.58,1.59,0.24,1.61,0.24,273.2,17.4,80.2,367.2,4.9,19.4,1.4,13.3,43.52
64.05,0.67,16.31,4.29,0.08,2.47,4.66,4.12,3.17,0.18,33.5,65,6.16,21.1,3.9,0.92,3.39,0.58,3.34,0.61,1.84,0.27,1.68,0.27,280.7,18.9,83.1,373.4,5.5,21,1.6,13,43.52
64.66,0.64,16.11,4.18,0.08,2.45,4.53,4.07,3.09,0.18,35.2,66.5,6.3,20.4,4.2,0.98,3.4,0.59,3.13,0.62,1.75,0.28,1.9,0.28,294.1,18.5,84.8,380.5,5.3,21,1.7,14.2,43.52
64.02,0.67,16.34,4.21,0.08,2.49,4.79,3.91,3.3,0.19,35,67.5,6.23,21,3.7,0.94,3.31,0.56,3.21,0.6,1.69,0.28,1.78,0.27,300.9,18.2,83.3,405.9,4.7,19.9,1.6,14.2,43.52
57.12,1.69,16.88,7.72,0.12,2.65,5.39,4.68,3.23,0.51,41.3,79.8,8.46,31.06,6.091,1.72,5.62,0.91,4.68,1,2.71,0.37,2.77,0.39,504,27.9,54.84,400.4,5.7,33.4,1.9,6.3,43.52
57.15,1.71,17.29,7.75,0.12,2.67,5.41,4.68,2.68,0.54,41.9,83.8,8.55,34.1,6.5,1.83,5.44,1.02,5.01,0.99,2.7,0.41,2.67,0.42,541.5,27.2,55.7,430,6.3,32.9,1.8,10.5,43.52
56.95,1.6,17.42,7.75,0.12,2.71,5.31,4.81,2.82,0.5,37.5,78.4,8.12,30.2,6,1.67,4.93,0.82,4.83,0.91,2.49,0.36,2.68,0.38,525.4,26.1,50.9,404.6,6.4,30,1.8,7.3,43.52
63.64,0.71,16.28,4.32,0.09,2.74,4.84,4.05,3.1,0.23,33.4,64.4,6.07,20.83,3.879,1.02,3.27,0.56,3.17,0.62,1.67,0.27,1.68,0.24,327.5,17.9,78.41,407.1,5.2,24.2,1.9,13,43.52
62.94,0.81,17.27,4.49,0.08,2.44,5.45,4.12,2.15,0.24,23.5,47.5,5.7,21.7,4.27,1.26,3.63,0.56,3.16,0.62,1.66,0.24,1.47,0.23,499,17,61,516,4.4,9.4,0.71,8.39,43.53
66.83,0.57,16.59,3.54,0.06,1.7,4.15,4.21,2.18,0.17,19.5,38.6,4.42,16.6,3.27,0.94,2.79,0.44,2.46,0.48,1.25,0.18,1.14,0.17,393,12,65,495,3.95,7.7,0.64,7.38,43.53
59.01,1.04,17.79,6.1,0.1,3.76,6.63,4.05,1.3,0.22,15.3,32,4.13,17,3.82,1.28,3.57,0.55,3.26,0.64,1.69,0.24,1.43,0.23,524,18,30,345,3.37,8.1,0.51,3.49,43.53
64.14,0.71,16.99,4.27,0.08,2.46,5.07,4.04,2.02,0.22,23.5,44.7,5.38,20.4,4.03,1.16,3.54,0.53,3.01,0.6,1.57,0.22,1.38,0.22,434,16,59,474,4.23,9.3,0.72,7.71,43.53
60.71,0.87,17.69,5.58,0.1,2.82,6.17,4.11,1.62,0.33,25.9,55.4,7.05,27.4,5.19,1.54,4.2,0.61,3.46,0.68,1.79,0.25,1.59,0.24,849,18,32,431,4.71,9,0.54,6.15,43.53
60.32,0.95,17.51,5.48,0.09,3.83,6.02,3.97,1.59,0.24,18.5,39,4.87,19.5,4.13,1.23,3.71,0.57,3.31,0.64,1.66,0.24,1.45,0.24,497,17,40,402,4.12,10.4,0.68,4.91,43.53
64.14,0.76,16.63,4.59,0.08,2.46,4.98,4.04,2.11,0.21,22.5,45.5,5.44,20.9,4.31,1.21,3.64,0.55,3.11,0.59,1.55,0.22,1.35,0.21,450,16,58,485,4.64,10.1,0.76,7.41,43.54
58.42,1.01,17.12,6.09,0.11,5.06,6.79,3.59,1.54,0.27,19.7,40.7,4.99,19.7,4.28,1.33,3.94,0.64,3.74,0.73,1.99,0.29,1.76,0.28,464,20,41,391,3.98,10.2,0.69,5.1,43.54
59.63,1.11,16.85,5.92,0.1,3.58,6.29,3.87,2.25,0.4,37.9,79.9,10.2,39.4,7.39,2.02,5.59,0.77,4.17,0.77,1.94,0.26,1.65,0.24,817,20,50,678,6.98,12.3,0.72,9.39,43.54
58.37,1.03,16.89,6.18,0.11,5.11,6.75,3.74,1.57,0.25,19.7,41.1,5.11,20.3,4.34,1.33,4.11,0.65,3.86,0.77,2.06,0.29,1.81,0.29,464,21,41,389,4.13,11.3,0.71,5.23,43.55
59.73,0.96,16.89,5.78,0.1,4.46,6.27,3.86,1.71,0.23,20.5,41.7,5.12,20.1,4.14,1.29,3.92,0.62,3.68,0.73,1.98,0.27,1.77,0.27,443,20,46,416,4.21,9.4,0.75,5.87,43.55
60.9,0.81,17.89,5.15,0.09,3.12,6.24,4.07,1.56,0.17,16,33.6,4.29,17,3.83,1.16,3.42,0.54,3.14,0.61,1.62,0.23,1.48,0.22,504,16,38,358,3.83,7.5,0.51,4.55,43.55
60.68,0.97,17.04,5.36,0.09,2.93,6.14,3.94,2.46,0.39,42.8,87.3,10.8,41.7,7.53,2.06,5.44,0.72,3.72,0.67,1.68,0.23,1.4,0.21,829,17,60,722,5.79,9.8,0.67,11.9,43.55
59.39,1.1,16.49,5.99,0.1,3.65,6.41,4.11,2.33,0.43,46.7,97,12.1,47.5,8.62,2.36,6.34,0.86,4.42,0.79,1.94,0.27,1.62,0.25,883,20,51,718,5.66,12.5,0.78,11,43.55
62.65,0.93,16.48,5.03,0.09,2.83,5.26,4.08,2.32,0.32,34.3,71.4,8.87,34.4,6.32,1.69,5.06,0.71,3.84,0.72,1.86,0.27,1.62,0.25,661,19,56,649,6.29,11.4,0.77,9.1,43.55
58.06,1.07,18.21,6.9,0.11,3.83,6.52,3.89,1.18,0.23,14.6,32.7,4.3,17.8,4.13,1.42,3.9,0.6,3.32,0.62,1.57,0.21,1.26,0.2,461,16,23,314,3.69,9.9,0.57,2.94,43.55
61.57,0.85,18.18,4.73,0.08,2.42,5.96,4.18,1.8,0.23,19.4,39.3,4.81,18.8,4,1.28,3.65,0.56,3.26,0.64,1.68,0.24,1.53,0.23,499,17,47,417,4.11,9.9,0.7,5.94,43.56
63.95,0.72,16.78,4.51,0.08,2.72,4.98,4.29,1.79,0.18,18.3,37.4,4.54,17.7,3.8,1.12,3.33,0.49,2.76,0.51,1.34,0.2,1.19,0.18,432,15,46,433,4.09,8.9,0.62,5.32,43.56
62.28,0.89,16.69,4.99,0.08,2.78,5.57,3.94,2.45,0.33,36.2,74.1,9.02,34.8,6.49,1.78,4.78,0.66,3.44,0.64,1.63,0.22,1.39,0.22,696,17,60,655,5.21,9.7,0.7,10.8,43.56
64.45,0.63,16.93,4.15,0.07,2.61,5,4.31,1.68,0.17,14.9,30.5,3.77,14.8,3.29,1.03,2.8,0.42,2.3,0.46,1.19,0.17,1.02,0.17,455,12,43,391,3.37,6.6,0.48,4.25,43.56
62.44,0.74,15.94,4.86,0.08,4.58,5.16,4.37,1.64,0.18,16,34,4.5,19,4.3,1.29,3.76,0.58,3.08,0.58,1.66,0.24,1.51,0.22,457,17,34,438,4.2,5.2,0.4,3,43.56
57.76,0.98,18.85,6.3,0.11,3.42,6.97,3.95,1.29,0.37,21.6,47.3,6.09,24.3,4.84,1.51,4.15,0.6,3.48,0.68,1.73,0.25,1.52,0.24,720,18,29,339,4.24,8.5,0.5,4.6,43.57
55.6,1.31,18.25,8.02,0.12,3.76,6.99,4.3,1.39,0.27,13,30,4.16,20,4,1.56,4.47,0.74,4.35,0.87,2.32,0.33,1.99,0.32,584,20,24,338,3.84,11,0.62,2.19,43.74
55.6,1.31,18.25,8.02,0.12,3.76,6.99,4.3,1.39,0.27,13,30,4.16,20,4,1.56,4.47,0.74,4.35,0.87,2.32,0.33,1.99,0.32,584,20,24,338,3.84,11,0.62,2.19,43.74
55.13,1.89,17.4,9.41,0.14,3.05,6.1,4.54,1.84,0.51,35,64,7.16,32,6,2.31,7.23,1.13,6.6,1.29,3.4,0.47,2.87,0.45,529,33,32,525,5.91,18,1.04,3.11,43.87
55.13,1.89,17.4,9.41,0.14,3.05,6.1,4.54,1.84,0.51,35,64,7.16,32,6,2.31,7.23,1.13,6.6,1.29,3.4,0.47,2.87,0.45,529,33,32,525,5.91,18,1.04,3.11,43.87
61.68,1.21,16.84,6.51,0.09,1.78,4.7,4.23,2.74,0.22,37,43,5.41,24,5,1.5,5.53,0.87,5.25,1.06,2.86,0.4,2.5,0.38,425,30,63,653,4.75,10,0.74,4.65,43.91
61.68,1.21,16.84,6.51,0.09,1.78,4.7,4.23,2.74,0.22,37,43,5.41,24,5,1.5,5.53,0.87,5.25,1.06,2.86,0.4,2.5,0.38,425,30,63,653,4.75,10,0.74,4.65,43.91
76,0.15,13.1,0.95,0.07,0.19,0.99,4.07,4.44,0.03,22.3277,45.5778,6.22106,25.3902,4.97448,1.29184,4.56189,0.593521,3.0029,0.585913,1.73583,0.250742,1.58,0.248132,908,21,37,668,3.56364,4,0.306275,2.9178,44.32
74.95,0.19,13.81,1.09,0.08,0.3,1.07,3.99,4.47,0.04,28.3,58.54,5.35,17.67,2.6,0.55,1.96,0.28,1.57,0.29,0.88,0.13,0.89,0.14,178,14,112,1178,2.65,12,1.06,6.74,44.32
74.18,0.22,14,1.39,0.08,0.32,1.22,4.5,4.04,0.06,20.68,50.78,3.93,13.43,1.92,0.47,1.56,0.22,1.25,0.24,0.71,0.11,0.71,0.11,208,14,109,1168,2.56,12,0.78,4.63,44.8
57.54,1.28,17.68,7.14,0.22,0.65,4.16,7.06,4.07,0.19,54.8,111.9,12.1,46.7,8.32,2.31,8.37,1.41,8.5,1.79,5.42,0.85,5.64,0.88,463,52.6,106.6,679,8.4,36.8,1.8,13.7,44.92
61.18,0.74,18.5,4.38,0.16,0.67,1.66,7.65,4.89,0.16,61.9,124.2,13.33,48.2,8.94,2.08,8.71,1.5,9.04,1.9,6.04,0.98,6.49,1.02,118.5,58.1,112.6,671,14.7,50.4,2.3,15.5,44.92
57.9,1.42,17.17,6.98,0.2,0.8,4.24,6.38,4.63,0.27,48,98.3,11.35,43.7,7.86,2.65,7.42,1.32,7.43,1.64,4.81,0.74,4.98,0.76,266.8,47.3,87.5,1441,7.3,33,1.8,10.6,44.92
57.71,1.1,18.31,6.63,0.2,0.8,3.21,7.33,4.48,0.22,57.2,113.1,12.59,45.3,8.53,2.74,8.42,1.44,8.3,1.77,5.47,0.87,5.4,0.78,343.2,53,104.9,1191,9,40.8,1.7,13,44.92
57.29,1.35,17.86,7.02,0.2,0.84,3.81,7.31,4.02,0.28,54.8,113.6,12.25,43.1,8.4,2.75,8.11,1.44,8.92,1.76,5.37,0.8,5.2,0.8,489.7,49.7,107.5,1042,8.4,36.5,1.7,12.1,44.92
57.07,1.38,18.01,7.15,0.2,0.9,3.88,7.21,3.93,0.26,54.6,113.3,12.45,45.7,8.76,2.74,7.99,1.46,8.79,1.78,5.24,0.81,5.18,0.81,501.9,51.2,89.9,1018,8.6,36.4,1.7,12,44.92
56.62,1.45,17.83,7.52,0.21,0.99,3.97,7.13,3.95,0.33,54.5,110.6,12.47,47.1,8.69,2.74,8.58,1.47,8.23,1.77,5.37,0.85,5.47,0.78,504,52.5,95.3,964,8.1,36.9,1.5,12.2,44.92
58.23,1.11,19.19,5.92,0.2,1.03,2.64,7.38,4,0.31,57,112.5,12.49,45,8.32,2.49,7.88,1.43,8.25,1.87,5.79,0.93,6.21,0.98,244.5,56.1,82.7,824,11.2,49.4,2.4,14.1,44.92
58.72,0.98,19.08,4.96,0.16,1.03,2.59,7.8,4.38,0.28,56.2,109.9,11.45,43.4,7.89,1.92,7.82,1.34,8.17,1.78,5.48,0.95,6.23,0.94,240.5,52.5,121.8,540,13.1,47.6,2.6,13.8,44.92
58.29,1.07,19.29,5.89,0.19,1.07,2.57,7.26,4.05,0.31,56.9,111.1,12.11,46.3,9,2.42,8.03,1.39,8.61,1.75,5.27,0.92,6.08,0.94,300.5,54.8,113.8,784,11.9,45.9,2.6,12.6,44.92
57.92,1.09,19.22,6.02,0.19,1.08,2.63,7.39,4.11,0.33,53,108.2,11.66,43.5,8.13,2.43,7.54,1.38,8.17,1.81,5.49,0.96,6.01,0.93,232.2,48.6,84.8,748,10.9,47.8,2.4,12.7,44.92
58.41,1.01,19.26,5.07,0.16,1.1,2.72,7.64,4.33,0.29,54.4,107.5,11.74,42.1,7.88,1.96,7.53,1.33,8.17,1.74,5.22,0.88,6.11,0.9,259.8,54.3,115.7,536,12.2,45,2.4,14.6,44.92
58.87,1.05,19.04,4.95,0.16,1.11,2.52,7.69,4.3,0.31,51.7,104.6,11.28,41.5,7.61,2.05,7.56,1.3,8.24,1.7,5.26,0.87,5.73,0.88,237.8,50.3,108.8,547,11.6,41,2.2,12.7,44.92
59.4,1.09,18.85,4.87,0.16,1.12,2.38,7.37,4.47,0.28,52.6,106.2,11.5,40.9,7.59,2.02,7.67,1.34,8.48,1.78,5.4,0.85,5.82,0.88,203.2,49.5,107.9,547,12.3,42.4,2.3,14.3,44.92
59.56,1.09,18.79,4.87,0.16,1.12,2.36,7.36,4.38,0.3,53.8,107,11.71,43.3,8.06,2.12,7.54,1.35,8.13,1.74,5.6,0.89,6.02,0.93,209.7,52.7,111.3,589,12.8,44.4,2.1,14.3,44.92
59,1.11,18.95,4.89,0.16,1.14,2.7,7.42,4.32,0.32,51.7,103.5,11.13,38.4,7.16,2.09,7.36,1.3,7.39,1.63,5,0.84,5.28,0.82,215.2,48.3,105.5,559,11.9,41.4,2.1,11.3,44.92
59.23,1.1,18.81,4.97,0.16,1.16,2.49,7.27,4.48,0.32,54.1,105.6,11.88,51.5,10.1,2.06,7.43,1.36,7.62,1.76,5.28,0.87,5.32,0.86,197.6,50.4,122.3,587,12.8,43,2,13.1,44.92
59.57,1.11,18.75,4.87,0.16,1.16,2.44,7.24,4.39,0.3,53.6,106.8,11.83,41.6,7.57,2.17,7.62,1.37,7.97,1.73,5.17,0.88,5.58,0.89,215,50,103.2,598,12.2,43.2,2.2,12.2,44.92
59.34,1.12,18.77,4.86,0.16,1.19,2.58,7.36,4.28,0.33,50.2,102.4,10.9,41.3,7.33,2.07,7.48,1.28,7.74,1.64,5.01,0.8,5.44,0.84,225.2,48.5,105.5,568,10.9,38.4,2,12.6,44.92
59.29,1.16,18.63,5.07,0.16,1.21,2.71,7.18,4.28,0.32,52.8,104.8,11.53,44.2,7.98,2.17,7.56,1.33,8.08,1.74,5.29,0.83,5.66,0.9,224.1,50.7,103.8,608,12,41.8,2.2,13.8,44.92
59.03,1.17,18.59,5.07,0.16,1.26,2.82,7.23,4.32,0.34,50.9,103,11.23,43.5,7.91,2.13,7.44,1.34,7.89,1.66,5.16,0.86,5.44,0.85,223.5,46.3,100,569,11.1,41.6,2,12.4,44.92
59.62,1.18,18.52,5.07,0.17,1.26,2.73,6.86,4.22,0.37,52,102.2,11.58,42.1,7.66,2.12,7.18,1.3,7.74,1.69,5.04,0.81,5.4,0.82,240.9,50.4,100.6,584,10.5,39,2.1,12.8,44.92
59.24,1.2,18.56,5.16,0.16,1.3,2.76,7.15,4.08,0.38,52.3,107.4,11.5,43.8,8.06,2.21,7.99,1.3,7.69,1.67,5.14,0.8,5.4,0.82,253.8,47.8,99,584,11,39.4,2.1,12.5,44.92
59.52,1.18,18.37,5.07,0.16,1.3,2.88,7.03,4.1,0.4,51.6,107,11.29,42.1,7.96,2.14,7.87,1.32,7.84,1.64,5.2,0.79,5.57,0.84,241.4,47.1,100.1,596,10.5,39.1,2.1,12.6,44.92
59.4,1.14,18.61,4.98,0.16,1.31,2.54,7.19,4.33,0.35,52.3,106,11.47,42,7.85,2.11,7.96,1.3,7.75,1.67,5.18,0.82,5.71,0.85,216.3,49.8,105.1,573,11.8,40.5,2.2,12.8,44.92
59.65,1.18,18.39,4.97,0.16,1.32,2.91,6.92,4.1,0.4,53.2,107.8,11.81,43.3,8.32,2.22,8.1,1.34,7.91,1.67,5.01,0.83,5.24,0.84,247.4,48.9,100.3,588,10.5,43.3,2,12.9,44.92
59.36,1.19,18.49,5.17,0.16,1.34,2.82,6.93,4.17,0.38,52.4,109.1,11.74,44,8.6,2.15,7.85,1.34,7.96,1.66,5.1,0.83,5.34,0.82,214.8,49,101.5,593,11,42.2,1.9,13.2,44.92
59.29,1.2,18.36,5.16,0.16,1.36,2.87,7.17,4.02,0.4,50.8,106.4,11.28,39.2,7.6,2.25,7.48,1.34,7.9,1.65,5.23,0.81,5.48,0.84,259.9,46.7,115,596,10.7,39.8,1.9,12.3,44.92
58.49,1.19,18.42,5.46,0.16,1.39,3.06,7.32,4.09,0.41,51.9,107.5,11.65,43.2,8.56,2.15,7.82,1.45,8.73,1.86,5.66,0.96,5.99,0.92,247.9,49.4,104.6,492,12,44.6,2.2,14.2,44.92
57.44,1.33,18.65,6.42,0.19,1.46,3.42,6.97,3.73,0.4,58.6,125.3,14.08,49.2,9.6,2.77,9.93,1.64,9.14,1.92,5.9,0.92,6.18,0.9,300.1,55.2,83,647,11.6,44.3,2.1,10.2,44.92
58.79,1.22,18.5,5.48,0.16,1.45,3.31,6.78,3.88,0.43,53.5,106.8,11.67,44.9,8.47,2.25,7.95,1.42,8.44,1.77,5.45,0.91,5.74,0.88,275.9,49.3,95.4,557,11.6,42.3,2.1,13.6,44.92
59.02,1.22,18.23,5.41,0.16,1.5,3.51,6.73,3.77,0.45,54.2,113.2,12.04,45.8,8.79,2.34,8.68,1.45,8.59,1.81,5.57,0.9,5.78,0.9,295.4,49.7,97.7,576,11.4,43.2,2.1,13,44.92
58.75,1.24,18.25,5.47,0.16,1.52,3.47,6.89,3.82,0.44,55.4,117.8,11.95,45.2,8.76,2.32,8.58,1.45,8.31,1.81,5.36,0.9,5.6,0.89,283,48.6,96.3,574,11.4,44.2,2.2,13.7,44.92
58.7,1.27,18.24,5.58,0.16,1.54,3.32,6.91,3.86,0.42,56.7,117.9,12.29,47.2,9.3,2.38,8.84,1.48,8.66,1.86,5.76,0.91,5.85,0.91,177.4,50.1,116.1,573,11.9,45.5,2.1,14,44.92
59.43,1.28,18.11,5.38,0.16,1.56,3.46,6.48,3.68,0.45,49.7,105.8,11.49,44.7,8.35,2.48,8.13,1.35,7.57,1.58,4.65,0.76,4.68,0.74,274.1,43.8,69.8,752,8.4,37.8,1.7,9.5,44.92
58.68,1.27,18.07,5.67,0.16,1.58,3.59,6.71,3.82,0.46,51.3,107,11.53,42.8,7.9,2.21,7.5,1.36,7.98,1.64,5.19,0.78,5.43,0.84,291.4,48.3,96.7,557,11.1,39.8,2.1,12.4,44.92
56.94,1.39,18,6.9,0.18,2.17,4.5,6.63,2.76,0.53,42,86.9,9.79,39.1,7.57,2.23,7.74,1.28,7.31,1.55,4.63,0.72,4.48,0.71,331.9,45,60.3,434,7.7,31.2,1.4,8.2,44.92
61.95,0.76,17.35,5.11,0.09,2.47,5.31,4.3,2.41,0.27,63.4635,135.331,15.1801,58.2705,9.26663,2.01424,6.39317,0.722892,3.80181,0.655862,1.47574,0.216759,1.39855,0.20185,981,24,121,1592,5.59024,13,0.919171,18.6911,45.11
61.51,0.7,17.49,5.12,0.1,2.72,5.44,4.32,2.34,0.25,61.8367,130.39,14.5973,56.0027,9.11074,1.98372,6.53554,0.763582,4.18676,0.742704,1.76589,0.265557,1.69128,0.247475,963,24,116,1343,5.39512,12,0.892228,18.39,45.11
60.03,0.9,17.5,5.74,0.09,3.04,5.91,4.38,2.13,0.28,106.855,206.566,25.2048,89.9567,15.2794,2.87831,11.9675,1.10147,5.98137,0.886246,2.85409,0.297632,2.11649,0.261312,999,25,118,1544,7.17325,13,0.96281,25.2181,45.11
